# glossary links — en
#
# Generated by lib/glossary/report.test.ts from content/. Reviewed by hand, then frozen: any
# content change that moves a link shows up here as a diff. Do not hand-edit — fix the prose or
# the entry's `match` / `link` / `link_except` in glossary.yaml and regenerate.
#
# 643 web marks · 67 of them also a PDF link · 111 linkable terms the book never links
#
# lesson   policy  term id                      context, with the marked words in «»
m07-l1   W       g-short                      … payment exchanged directly between longs and «shorts» on a perpetual contract (it has its own modul…
m07-l1   W       g-contract                   …ectly between longs and shorts on a perpetual «contract» (it has its own module). Depending on the sig…
m07-l1   W       g-funding-rate               …its own module). Depending on the sign of the «funding rate», either longs pay shorts or shorts pay longs.
m07-l1   W       g-spot                       …ment date to drag its price back in line with «spot». Funding is the tether: when the perp trades …
m08-l1   W       g-support                    «support»
m08-l1   W       g-resistance                 «resistance»
m08-l1   W       g-bid                        …ght the last bounce and watched it work leave «bids» to buy it again. Traders who missed the bounc…
m08-l1   W       g-candle                     , not a line — a band a few «candles» wide — because:
m08-l1   W       g-wick                       «Wicks» and closes tell different stories; the "level…
m08-l1   W       g-range                      Sooner or later price leaves the «range». The question is whether it
m08-l1   W       g-body                       the level — a full candle «body» on the far side — and then
m08-l1   W       g-volume                     higher «volume»
m08-l1   W       g-role-reversal              «role reversal»
m08-l1   WP      g-overrun                    …ers who defended the old resistance have been «overrun», and many cover their shorts on the pullback …
m08-l1   W       g-short                      …tance have been overrun, and many cover their «shorts» on the pullback to the level, turning former …
m08-l1   WP      g-stop-loss                  …re resting orders pile up just beyond it: the «stop-losses» of traders positioned into the level, and the…
m08-l1   W       g-trend                      a «trend» — the dips to 104 and 109 above. It exists be…
m08-l1   WP      g-bos                        break of structure («BOS»)
m08-l1   WP      g-trendline                  lines — «trendlines» and channels — and
m08-l1   WP      g-channel                    lines — trendlines and «channels» — and
m08-l1   WP      g-premium                    one. The market pays a «premium» to whoever is willing to be a candle or two l…
m08-l1   W       g-order-book                 …s close; crypto never does, and the always-on «order book» changes how structure behaves.
m08-l1   W       g-leverage                   «Leverage» concentrates stop-loss orders and liquidation…
m08-l1   W       g-liquidation-price          Leverage concentrates stop-loss orders and «liquidation prices» just beyond the obvious swing highs and lows …
m08-l1   W       g-swing-high                 …nd liquidation prices just beyond the obvious «swing highs» and lows — everyone watches the same levels, …
m08-l1   W       g-liquidation                … band, trip the clustered stops and force the «liquidation» of over-leveraged traders, absorb the resulti…
m08-l2   W       g-support                    …or price to react at the level" — at a broken «support» on the retest (m08), at a Fibonacci pullback …
m08-l2   W       g-retest                     …ct at the level" — at a broken support on the «retest» (m08), at a Fibonacci pullback (m13 step 4), …
m08-l2   WP      g-fibonacci                  …at a broken support on the retest (m08), at a «Fibonacci» pullback (m13 step 4), at the spring that tes…
m08-l2   W       g-pullback                   …n support on the retest (m08), at a Fibonacci «pullback» (m13 step 4), at the spring that tests a Wyck…
m08-l2   WP      g-spring                     … at a Fibonacci pullback (m13 step 4), at the «spring» that tests a Wyckoff range (m09). This lesson…
m08-l2   WP      g-wyckoff                    …back (m13 step 4), at the spring that tests a «Wyckoff» range (m09). This lesson finally says what a
m08-l2   W       g-range                      …3 step 4), at the spring that tests a Wyckoff «range» (m09). This lesson finally says what a
m08-l2   W       g-candle                     The trick is to stop thinking of «candles» as a catalogue of shapes to memorise and star…
m08-l2   WP      g-footprint                  «footprint» of order flow
m08-l2   W       g-order-flow                 footprint of «order flow»
m08-l2   W       g-wick                       A rejection is a long «wick» with a small body — the classic
m08-l2   W       g-body                       A rejection is a long wick with a small «body» — the classic
m08-l2   WP      g-wedge                      …ittle at each: across a run of bars it is the «wedge» and the triangle of
m08-l2   WP      g-triangle                   … across a run of bars it is the wedge and the «triangle» of
m08-l2   W       g-leverage                   …fended level during active hours. And because «leverage» stacks stops and liquidations just beyond obv…
m08-l2   W       g-liquidation                … hours. And because leverage stacks stops and «liquidations» just beyond obvious levels, a long wick throu…
m08-l2   W       g-depth                      …anic conviction. Weight every reaction by the «depth» of the book it happened in and the level it h…
m09-l1   W       g-range                      …ey work quietly, over time, inside a sideways «range». That patient buying or selling leaves a reco…
m09-l1   W       g-contract                   2,000 «contracts»
m09-l1   W       g-order-book                 but the visible «order book» only offers
m09-l1   W       g-long                       «long positions» from sellers who have given up.
m09-l1   W       g-trend                      — accumulation is done; price «trends» up and leaves the range. The buying is finish…
m09-l1   WP      g-fomo                       an uptrend manufactures the confident, «FOMO» buyers a big seller needs to unload into.
m09-l1   W       g-support                    «support»
m09-l1   W       g-resistance                 «resistance»
m09-l1   W       g-bid                        …oney. To Wyckoff it is a buyer sitting on the «bid» at 1,800, absorbing everything offered, sessi…
m09-l1   W       g-false-break                is a «false break»
m09-l1   W       g-stop-loss                  …. Price dips under the floor — triggering the «stop-losses» and tempting the shorts — and then snaps back…
m09-l1   W       g-short                      …— triggering the stop-losses and tempting the «shorts» — and then snaps back up. In Wyckoff's readin…
m09-l1   W       g-breakout                   …e. Price pokes above the ceiling — triggering «breakout» buyers — and then rolls over. That poke was l…
m09-l1   W       g-candle                     …ion at the level that confirms a spring — the «candle» forms that record it — is read in m08-l2), an…
m09-l1   W       g-narrative                  rather than inventing a «narrative» for it.
m09-l1   W       g-altcoin                    In a shallow «altcoin» order book, a comparatively small market sell…
m09-l1   W       g-wick                       …r book, a comparatively small market sell can «wick» 5–8% below support, sweep the stop-losses and…
m09-l1   W       g-liquidation                …5–8% below support, sweep the stop-losses and «liquidation» levels clustered just beneath it, and reverse…
m09-l1   W       g-funding                    «Funding» and leverage cluster the stops.
m09-l1   W       g-leverage                   Funding and «leverage» cluster the stops.
m09-l1   W       g-liquidation-price          …nding and heavy leverage pile stop-losses and «liquidation prices» into obvious spots just past support and resi…
m09-l1   W       g-squeeze                    short «squeeze»
m09-l1   W       g-depth                      «depth» of the book it happened in
m09-l2   W       g-range                      … the parts: the four-stage cycle, the trading «range», the phases A–E, the spring and the upthrust.…
m09-l2   W       g-spring                     …cycle, the trading range, the phases A–E, the «spring» and the upthrust. This lesson slows down and …
m09-l2   W       g-upthrust                   …ing range, the phases A–E, the spring and the «upthrust». This lesson slows down and walks a
m09-l2   W       g-accumulation               single «accumulation» range from start to finish
m09-l2   W       g-distribution               «distribution» is the same story upside down
m09-l2   W       g-support                    «support»
m09-l2   W       g-resistance                 «resistance»
m09-l2   W       g-trend                      a «trend» ends when the last motivated sellers have sol…
m09-l2   W       g-wyckoff                    … supply from tired sellers to patient buyers. «Wyckoff» calls this
m09-l2   W       g-candle                     …d then snaps back inside within three or four «candles». No later dip comes near that floor again. Th…
m09-l2   W       g-stop-loss                  …ow 1,800 is bait. A visible new low trips the «stop-losses» resting under support and tempts fresh shorts…
m09-l2   W       g-short                      …losses resting under support and tempts fresh «shorts», and those sell orders are exactly the last c…
m09-l2   W       g-wick                       the «wick» to 1,745 fires everyone's stops; price is bac…
m09-l2   W       g-pullback                   …erwhelms what little selling appears, so each «pullback» is shallower than the last. The textbook draw…
m09-l2   W       g-higher-low-hl              «higher lows»
m09-l2   W       g-markup                     «markup»
m09-l2   WP      g-payoff                     …n the 2,050 where the whole fall started: the «payoff» for all that patient buying.
m09-l2   W       g-breakout                   — 3% beyond it — trapping «breakout» buyers, then fails back inside. The decisive …
m09-l2   W       g-utad                       «UTAD»
m09-l2   W       g-markdown                   «markdown»
m09-l2   W       g-depth                      «depth»
m10-l1   W       g-trend                      …s smoother and calmer but slower to admit the «trend» has changed. Faster is not better; it is a di…
m10-l1   W       g-range                      …A is a downtrend. A flat MA means no trend: a «range».
m10-l1   WP      g-swing-trading              20 and 50, for «swing trading»
m10-l1   W       g-candle                     …d the daily: long enough to shrug off one bad «candle», short enough to turn inside a multi-day hold…
m10-l1   W       g-fibonacci                  …They matter for the same reason m13 gives for «Fibonacci» levels: enough people watch the same lines th…
m10-l1   W       g-pullback                   …ughly the average cost of recent buyers, so a «pullback» to it is a pullback to where the average hold…
m10-l1   W       g-support                    …straight through it, and the same MA that was «support» becomes resistance on the way back down.
m10-l1   W       g-resistance                 … it, and the same MA that was support becomes «resistance» on the way back down.
m10-l1   W       g-wick                       …ld never produce, and a weekend low-liquidity «wick» can jerk a short EMA on nothing. The practica…
m11-l1   W       g-range                      …rived from price, that moves within a bounded «range» and tries to describe
m11-l1   W       g-moving-average             («Moving Average» Convergence Divergence) is built from three p…
m11-l1   WP      g-divergence                 (Moving Average Convergence «Divergence») is built from three pieces:
m11-l1   W       g-ema                        : the difference between a fast «EMA» (12) and a slow EMA (26) of price. When the f…
m11-l1   W       g-candle                     …otting acceleration you might miss on the raw «candles», and it is also why they can never "predict" …
m11-l1   W       g-trend                      …ever fell below the 26-EMA. Nothing about the «trend» changed — only the short-term push inside it …
m11-l1   W       g-golden-cross               . That is m10's «golden cross» (or death cross), on the 12/26 pair, reported…
m11-l1   W       g-death-cross                . That is m10's golden cross (or «death cross»), on the 12/26 pair, reported in the oscillat…
m11-l1   W       g-swing-high                 …tep earlier, at the histogram rather than the «swing highs». It is a clue that the move is decelerating. …
m11-l1   W       g-pullback                   evidence: a «pullback» turned the histogram negative, that pullback …
m11-l1   W       g-whipsaw                    «whipsaw»
m11-l1   W       g-funding                    «Funding» is the more honest exhaustion clue.
m11-l1   W       g-long                       …euphoric runs funding turns sharply positive («longs» paying shorts to keep the position open), and…
m12-l1   W       g-oscillator                 …s a disagreement between price and a momentum «oscillator» (RSI or MACD). Price makes a new extreme; the…
m12-l1   W       g-rsi                        …ment between price and a momentum oscillator («RSI» or MACD). Price makes a new extreme; the osci…
m12-l1   W       g-macd                       …tween price and a momentum oscillator (RSI or «MACD»). Price makes a new extreme; the oscillator r…
m12-l1   W       g-higher-high-hh             «higher high»
m12-l1   W       g-lower-high-lh              «lower high»
m12-l1   W       g-lower-low-ll               «lower low»
m12-l1   W       g-higher-low-hl              «higher low»
m12-l1   W       g-trend                      …empt was made by fewer, tired participants. A «trend» that can no longer make new highs
m12-l1   W       g-pullback                   , and it typically appears during a «pullback» rather than at the extreme of a move.
m12-l1   W       g-swing-low                  (the previous «swing low» was 26,900), yet RSI sinks to
m12-l1   W       g-resistance                 into a «resistance» that has already rejected price
m12-l1   W       g-support                    at a «support» that has already held
m12-l1   W       g-candle                     … so divergences form on weekend and overnight «candles» that are thin and easy to misread — a "diverg…
m12-l1   W       g-volume                     …sy to misread — a "divergence" on low weekend «volume» often evaporates when real liquidity returns …
m12-l1   W       g-funding                    «funding»
m12-l1   W       g-long                       can bankroll exactly this: as long as «longs» are willing to keep paying to hold, the trend…
m13-l1   W       g-pullback                   how deep the «pullback» will go
m13-l1   W       g-trend                      before the «trend» resumes. They are a measuring tool, not a cry…
m13-l1   W       g-range                      …high, or a high to a low — and it slices that «range» into ratios. Each ratio is the fraction of th…
m13-l1   W       g-swing-low                  «swing low»
m13-l1   W       g-swing-high                 «swing high»
m13-l1   WP      g-confluence                 They add «confluence».
m13-l1   W       g-support                    «support»
m13-l1   W       g-wick                       …a laser line, and price routinely overshoots, «wicks» through and reverses, or stops short before i…
m13-l1   WP      g-setup                      …or a round number, with a real reaction, is a «setup».
m13-l1   WP      g-trigger                    at the level. The level is an alert, not «a trigger». (What a genuine reaction looks like — the ca…
m13-l1   W       g-candle                     …er. (What a genuine reaction looks like — the «candle» forms that record it — is the subject of m08-…
m14-l1   W       g-candle                     Every «candle» tells you where price went.
m14-l1   W       g-volume                     «Volume»
m14-l1   W       g-contract                   …ume number has no meaning on its own — 40,000 «contracts» is large or trivial depending on what this ma…
m14-l1   W       g-moving-average             , usually a «moving average» of the last 20 or so bars. If the 20-bar aver…
m14-l1   W       g-breakout                   …seful thing volume does is tell you whether a «breakout» is real. When price breaks a level — above re…
m14-l1   W       g-resistance                 …ut is real. When price breaks a level — above «resistance», below support — the price move itself looks …
m14-l1   W       g-support                    …rice breaks a level — above resistance, below «support» — the price move itself looks the same whethe…
m14-l1   W       g-false-break                …n a probe that quietly reverses — the classic «false break», or "fakeout."
m14-l1   W       g-fakeout                    …ietly reverses — the classic false break, or "«fakeout»."
m14-l1   W       g-setup                      … break with no participation behind it is the «setup» a fakeout is made of.
m14-l1   W       g-range                      …ive times its normal height, but the candle's «range» is a tiny 0.1%. Sellers are hitting the marke…
m14-l1   W       g-bid                        …, yet a large resting buyer keeps refilling a «bid» at 2,125 — an "iceberg" that absorbs each wav…
m14-l1   W       g-divergence                 Like the momentum «divergences» from the oscillator module, a thinning volume…
m14-l1   W       g-oscillator                 Like the momentum divergences from the «oscillator» module, a thinning volume profile is an early…
m14-l1   WP      g-volume-profile             …gences from the oscillator module, a thinning «volume profile» is an early read on participation, and partic…
m14-l1   W       g-trend                      … to agree. Structure (a real, tested level or «trend»), an indicator (RSI or MACD), and volume are …
m14-l1   W       g-rsi                        …a real, tested level or trend), an indicator («RSI» or MACD), and volume are three different lens…
m14-l1   W       g-macd                       … tested level or trend), an indicator (RSI or «MACD»), and volume are three different lenses. A br…
m14-l1   W       g-order-flow                 … fiction. Prefer volume from venues with real «order flow», and lean on aggregated or on-chain measures …
m31-l1   W       g-order-book                 …ned why that works: a price is a place in the «order book», and orders rest at prices. Somebody's stop s…
m31-l1   W       g-wick                       …ws you decide count and whether you anchor on «wicks» or bodies. That subjectivity is not a reason …
m31-l1   W       g-body                       …the wick where the wick is convenient and the «body» where the body is.
m31-l1   W       g-candle                     If each new «candle» moves your anchor, what you have is a curve f…
m31-l1   W       g-volume                     , «volume» and confirmation. A break nobody joined is th…
m31-l1   W       g-fakeout                    … break nobody joined is the raw material of a «fakeout».
m31-l1   W       g-support                    …obvious. If everybody can see the same rising «support», everybody puts their stop just under it — an…
m31-l1   W       g-setup                      … through a crowded line on thin volume is the «setup» a stop hunt is made of.
m31-l1   W       g-range                      A «range» (
m31-l1   W       g-trend                      …mode of the whole instrument. You believe the «trend» is intact, so you find the anchors that keep …
m31-l1   W       g-lower-low-ll               … you find the anchors that keep it intact — a «lower low» here, a wick instead of a body there — and th…
m31-l2   W       g-candle                     taught you a single «candle» whose range collapses: a small body, small wi…
m31-l2   W       g-body                       … single candle whose range collapses: a small «body», small wicks, a bar where almost nothing happ…
m31-l2   W       g-wick                       …le whose range collapses: a small body, small «wicks», a bar where almost nothing happened. The rea…
m31-l2   W       g-channel                    Take the «channel» from
m31-l2   W       g-higher-high-hh             . Price is making «higher highs» and the ceiling is conceding less each time.
m31-l2   W       g-volume                     's price/ «volume» divergence gives you, and it says something r…
m31-l2   W       g-divergence                 's price/ volume «divergence» gives you, and it says something real: whoeve…
m31-l2   W       g-fibonacci                  says about a «Fibonacci» ratio and
m32-l1   W       g-candle                     gave you a single compression «candle» and
m32-l1   W       g-moving-average             a «moving average» of the close — the
m32-l1   W       g-overbought                 named for an «overbought» RSI, wearing a different envelope.
m32-l1   W       g-rsi                        named for an overbought «RSI», wearing a different envelope.
m32-l1   W       g-trend                      …ollinger band is narrow. Now picture a steady «trend» of small, orderly bars: the ATR is low and th…
m32-l1   W       g-histogram                  signed «histogram»
m32-l1   W       g-liquidation                … has been. There is no forced participant, no «liquidation», nobody on the wrong side.
m32-l1   W       g-short                      …es into a pocket of short liquidations, those «shorts» are forcibly bought back, that buying pushes …
m32-l1   WP      g-open-interest-oi           's «open interest» and funding:
m32-l1   W       g-funding                    's open interest and «funding»:
m15-l1   W       g-market-cap                 … the total crypto market capitalisation — its «market cap» divided by the market cap of every coin added…
m15-l1   W       g-altcoin                    … because Ether is the largest and most liquid «altcoin», that one pair works as a rough thermometer f…
m15-l1   W       g-trigger                    It is a thermometer, not «a trigger». It tells you the temperature of risk appetit…
m15-l1   W       g-bid                        …ise amplifies the fall, and there is often no «bid» to sell into.
m15-l1   WP      g-inflation                  …: central banks raised rates sharply to fight «inflation», and crypto fell hard in lockstep with tech s…
m15-l1   W       g-volume                     «Volume» thins out on weekends: institutions, market m…
m15-l1   W       g-maker                      …e thins out on weekends: institutions, market «makers» and much of the professional flow step back. …
m15-l1   W       g-spot                       to wherever «spot» drifted over the weekend — a gap that often g…
m15-l1   WP      g-correlation                None of these «correlations» is a law. They drift, they break for months a…
m15-l1   WP      g-unlock                     «unlock»
m15-l1   W       g-market-order               …hins exactly when you would want them deep. A «market order» into that gap fills far from where you expect…
m15-l1   W       g-liquidation                just inside a «liquidation» shelf into an announcement
m15-l1   W       g-liquidation-price          : a leveraged position whose «liquidation price» is parked past a visible cluster of stops (se…
m15-l1   W       g-setup                      …e print provides. Cut size or step aside; the «setups» worth trading are the ones you can actually r…
m15-l1   W       g-leverage                   … into events you can't price, and never carry «leverage» whose liquidation price sits just past a stop…
m16-l1   W       g-volume                     Market momentum and «volume» (~25%)
m16-l1   W       g-dominance                  Bitcoin «dominance»
m16-l1   W       g-long                       … push price higher, and a lot of nervous late «longs» who will sell fast the moment it dips. A mark…
m16-l1   W       g-funding                    …nside: the index has sat above 90 for a week, «funding» is deeply positive (longs are paying shorts e…
m16-l1   W       g-short                      … funding is deeply positive (longs are paying «shorts» every few hours just to hold the position), y…
m16-l1   W       g-cascade                    …rops 15% in a few hours on enormous volume, a «cascade» of
m16-l1   W       g-liquidation                «liquidations»
m16-l1   W       g-setup                      for «setups», not a command to buy.
m16-l1   W       g-trigger                    … the crowded side. It does not mark a moment. «The trigger» to actually enter still has to come from your…
m16-l1   W       g-breakout                   …se, a beginner will "confirm" a bullish price «breakout» by pointing at rising greed — and think they …
m16-l1   W       g-narrative                  …s inputs feed on exactly those things, so one «narrative» can push the whole gauge into extreme greed f…
m17-l1   W       g-perpetual-future           «Perpetual futures» generate data that spot markets don't: how ma…
m17-l1   W       g-spot                       Perpetual futures generate data that «spot» markets don't: how many contracts are open, a…
m17-l1   W       g-contract                   …nerate data that spot markets don't: how many «contracts» are open, and who is paying whom to hold them…
m17-l1   W       g-volume                     …ve been entered and not yet closed. It is not «volume» (volume counts trades, and a single contract …
m17-l1   W       g-long                       — aggressive buyers are opening new «longs». The move is
m17-l1   W       g-trend                      by fresh positions: the healthiest kind of «trend».
m17-l1   W       g-short                      — the rally is old «shorts» buying back to close (
m17-l1   W       g-candle                     the same price series, «candle» for candle, to the end of the shared leg
m17-l1   W       g-expiry                     meet at «expiry». A perpetual has no expiry and therefore no n…
m17-l1   W       g-funding                    Positive «funding»:
m17-l1   W       g-leverage                   … how much the crowd is willing to overpay for «leverage»; funding says what the overpayment costs them…
m17-l1   W       g-fee                        …two different exchanges is usually plumbing — «fees», transfer frictions, a stuck market maker — n…
m17-l1   W       g-maker                      …ng — fees, transfer frictions, a stuck market «maker» — not positioning.
m17-l1   W       g-squeeze                    …ber earns its keep in the violent cases. In a «squeeze» (lesson 2) the forced flow lands on the
m17-l1   W       g-bid                        …behind it; a perp overshooting spot means the «bid» is
m17-l2   W       g-open-interest-oi           …first lesson read the crowd from a distance — «open interest» for how
m17-l2   W       g-funding                    a move is, «funding» for how
m17-l2   W       g-order-book                 …t is. This lesson zooms all the way in to the «order book»:
m17-l2   W       g-cascade                    …leveraged, that run turns into a self-feeding «cascade» — a squeeze. None of this predicts direction.…
m17-l2   W       g-limit-order                is resting orders waiting to be filled — «limit orders» and, crucially,
m17-l2   W       g-liquidation                «Liquidation»
