# lesson references — es
#
# Generated by lib/refs/report.test.ts from content/. Reviewed by hand, then frozen: any content
# change that moves, adds or drops a reference shows up here as a diff. Do not hand-edit — fix
# the prose and regenerate.
#
# 211 references from 27 lessons · 0 self-mentions deliberately unlinked · 0 dangling
#
# lesson   mention  target          context, with the mention in «»
m03-l2   m27-l1   lesson m24-l1   … el paso de arriba abajo del plan de trading («m27-l1»).
m31-l1   m08-l1   lesson m08-l1   … cuerpo, no la mecha, exactamente la regla de «m08-l1» para un nivel horizontal. Un cierre al otro l…
m31-l1   m14      module m14      Tiene que haber participación detrás, «m14», volumen y confirmación. Una ruptura a la que…
m31-l1   m19-l2   lesson m17-l2   …a en reposo en un sitio conocido, que es todo «m19-l2». Un movimiento hasta ahí las dispara, y el es…
m31-l1   m03-l2   lesson m03-l2   En un mercado sin ritmo. Un rango («m03-l2») tiene límites horizontales y ningún ritmo de…
m31-l2   m08-l2   lesson m08-l2   «m08-l2» te enseñó una sola vela cuyo rango se desplom…
m31-l2   m15-l1   lesson m31-l1   Coge el canal de «m15-l1» y deja que las dos líneas converjan en vez de…
m31-l2   m14      module m14      …ra que te da la divergencia precio/volumen de «m14», y dice algo real: quien esté comprando tiene…
m31-l2   m13      module m13      …sin mecanismo, que es exactamente lo que dice «m13» de una proporción de Fibonacci y m10-l1 de la…
m31-l2   m10-l1   lesson m10-l1   …que dice m13 de una proporción de Fibonacci y «m10-l1» de la media de 200 días. Si existe una inclin…
m31-l2   m16      module m32      …presión es, y es la misma afirmación que hace «m16» sobre un régimen de mercado entero.
m31-l2   m08-l1   lesson m08-l1   …ierra al otro lado de la línea, no una mecha («m08-l1», y mira en m15-l1 por qué una mecha a través …
m31-l2   m15-l1   lesson m31-l1   … de la línea, no una mecha (m08-l1, y mira en «m15-l1» por qué una mecha a través de una diagonal va…
m31-l2   m14      module m14      Participación detrás («m14»). Una compresión es silenciosa por construcci…
m31-l2   m13      module m13      …e es el mismo argumento autocumplido que hace «m13» con el 0,618, y tiene la misma fecha de caduc…
m31-l2   m15-l1   lesson m31-l1   …» es entrar por una forma, que es el error de «m15-l1» —primero la tesis, después la línea— con una …
m32-l1   m08-l2   lesson m08-l2   «m08-l2» te dio una sola vela de compresión y m15-l2 t…
m32-l1   m15-l2   lesson m31-l2   m08-l2 te dio una sola vela de compresión y «m15-l2» te dio un patrón de compresión. Esta lección …
m32-l1   m11      module m11      …a es donde vive el precio: el mismo error que «m11» nombró para un RSI sobrecomprado, con otra en…
m32-l1   m19-l2   lesson m17-l2   Squeeze de liquidez / short squeeze («m19-l2»): un suceso de mercado. El precio sube hasta …
m32-l1   m19      module m17      … forma que el interés abierto y el funding de «m19»:
m32-l1   m08-l1   lesson m08-l1   …plina de cierre de cuerpo y participación que «m08-l1» y m14 piden en todas partes.
m32-l1   m14      module m14      …cierre de cuerpo y participación que m08-l1 y «m14» piden en todas partes.
m32-l1   m22      module m19      …osición dimensionada a partir de nada, que es «m22», la gestión del riesgo, y m26, la psicología …
m32-l1   m26      module m23      …de nada, que es m22, la gestión del riesgo, y «m26», la psicología del error, otra vez.
m15-l1   m23-l1   lesson m20-l1   …idez de verdad, que es el mapa de sesiones de «m23-l1».
m15-l1   m20      module m18      …a desde dentro: un gran unlock de tokens (ver «m20») suelta nueva oferta en una fecha publicada, …
m15-l1   m19-l2   lesson m17-l2   … queda pasado un cúmulo visible de stops (ver «m19-l2») es combustible esperando la chispa que aport…
m17-l1   m21-l1   lesson m34-l1   …na estrategia que hay quien lleva con tamaño. «m21-l1» se mete a vivir dentro de ella —quién la hace…
m17-l2   m16-l1   lesson m32-l1   … precio justo en el sentido que fuerza a más. «m16-l1» enseña algo completamente distinto con el mis…
m34-l1   m19-l1   lesson m17-l1   «m19-l1», los datos de derivados, mencionó un arbitraj…
m34-l1   m04-l1   lesson m04-l1   … significa que los largos pagan a los cortos («m04-l1»). El corto eres tú. Cada ocho horas, la masa …
m34-l1   m19-l1   lesson m17-l1   … un mismo hecho visto dos veces, como ya dijo «m19-l1». Eso significa que al carry se puede entrar p…
m34-l1   m19-l1   lesson m17-l1   …del apalancamiento, la misma lectura que hace «m19-l1» desde el otro lado de la mesa.
m34-l1   m19-l2   lesson m17-l2   …o —una caída, una oleada de cortos en pánico («m19-l2»)—, eres un corto pagando a los largos, y el c…
m34-l1   m02      module m02      …arte. Las dos cosas son el «not your keys» de «m02» disfrazado de estrategia: tu posición delta n…
m34-l1   m06      module m06      …e hay que grabarse a fuego, y es donde vuelve «m06», la liquidación.
m34-l1   m06      module m06      …lataforma que la sostiene. Todo lo que enseñó «m06» sobre la liquidación —que se calcula por posi…
m34-l1   m19-l1   lesson m17-l1   …s un carry que paga menos, que es la prima de «m19-l1» leída desde el otro lado de la mesa y la razó…
m34-l1   m23-l1   lesson m20-l1   …osa que «más operaciones es más beneficio» en «m23-l1»: el número que se cita es real, y no es el nú…
m34-l2   m19      module m17      Es la lectura que «m19» hace del interés abierto y del funding, y la …
m34-l2   m16      module m32      … interés abierto y del funding, y la que hace «m16» de un squeeze de volatilidad, aplicada a la a…
m34-l2   m20      module m18      …san a ser transferibles en fechas publicadas. «m20» enseñó la tokenómica de esto —oferta circulan…
m34-l2   m31      module m27      …orta es ese número al lado de la profundidad («m31») que hay para absorberlo. Un unlock grande co…
m34-l2   m19-l1   lesson m17-l1   …te una fecha conocida se ve en los derivados («m19-l1»), y muchas veces importa más el tamaño de la …
m34-l2   m04-l1   lesson m04-l1   …os perpetuos no vencen nunca: para eso están («m04-l1»). ¿Por qué mueven entonces el perpetuo los co…
m34-l2   m21-l1   lesson m34-l1   …aciones de carry, spreads de calendario, toda «m21-l1»— hay que cerrarlo o rolarlo en ese momento. E…
m34-l2   m02      module m02      «m02». Tus monedas están en la plataforma, tu colat…
m34-l2   m06      module m06      «m06». El motor de liquidación del exchange no se c…
m34-l2   m21-l1   lesson m34-l1   …s el argumento del tercer riesgo del carry de «m21-l1», dicho una vez más: una posición delta neutra…
m19-l1   m25-l1   lesson m22-l1   …ritmética de rachas más adelante en el curso, «m25-l1».) La fórmula no cambia en nada; lo que cambia…
m19-l1   m27-l1   lesson m24-l1   … freno diario del módulo del plan de trading («m27-l1»).
m19-l1   m16-l1   lesson m32-l1   … temporalidad en la que entraste —la regla de «m16-l1» para cuánto recorre una barra típica— y, si l…
m19-l1   m06-l1   lesson m06-l1   …stando a que no ocurrirá una barra corriente. «m06-l1» ya enseñó lo que el ruido normal le hace a un…
m19-l1   m06      module m06      …idación respecto a tu stop. Con la fórmula de «m06» para un largo, con :
m19-l1   m22-l2   lesson m19-l2   …a de la siguiente lección, Riesgo de cartera («m22-l2»).
m20-l1   m27-l1   lesson m24-l1   … el paso de arriba abajo del plan de trading («m27-l1»). Y como la temporalidad decide en qué period…
m20-l1   m10-l1   lesson m10-l1   …20/50 en swing, 50/200 en el diario— están en «m10-l1».
m20-l1   m19-l2   lesson m17-l2   …un fenómeno nuevo: es la bolsa de liquidez de «m19-l2» programada por el reloj, donde el fin de sema…
m20-l1   m08-l2   lesson m08-l2   …na señal por la sesión en la que se imprimió. «m08-l2» lo dice para una vela suelta: una mecha espec…
m20-l2   m23-l1   lesson m20-l1   «m23-l1» te dejó con un estilo y, sin decirlo mucho, c…
m20-l2   m29      module m25      Es exactamente lo que dice «m29» de una sola vela, un piso más arriba. Allí, l…
m20-l2   m03-l2   lesson m03-l2   … en todos los gráficos. Una repisa en 25.900 («m03-l2», m08-l1) está en 25.900 en el diario, en el d…
m20-l2   m08-l1   lesson m08-l1   …s los gráficos. Una repisa en 25.900 (m03-l2, «m08-l1») está en 25.900 en el diario, en el de 1h y e…
m20-l2   m08-l1   lesson m08-l1   …ra llamaría tendencia alcista (la escalera de «m08-l1», dibujada en un gráfico rápido). Te pones lar…
m20-l2   m26      module m23      …era no es un error de gráfico, es un error de «m26»: abrir una temporalidad tras otra hasta que a…
m20-l2   m27-l1   lesson m24-l1   … el paso de arriba abajo del plan de trading («m27-l1») dicho como regla sobre gráficos. En la práct…
m20-l2   m23-l1   lesson m20-l1   Tu pareja sale de tu estilo («m23-l1»), porque un scalper y un swing trader no comp…
m20-l2   m22      module m19      Una costura limpia con «m22», la gestión del riesgo: has sacado el context…
m20-l2   m22      module m19      …desde esa distancia, exactamente como lo hace «m22».
m20-l2   m23-l1   lesson m20-l1   …egar más tarde, y cada estilo del espectro de «m23-l1» elige un tipo de cambio distinto.
m24-l1   m03-l2   lesson m03-l2   …arte del método. Las temporalidades anidadas («m03-l2») y la elección de temporalidad según el estil…
m24-l1   m23      module m20      … la elección de temporalidad según el estilo («m23») implican un paso del proceso que ninguna de …
m24-l1   m03-l2   lesson m03-l2   …ue apunte donde ya querías ir: es el aviso de «m03-l2» sobre saltar entre niveles de zoom para justi…
m24-l1   m08-l2   lesson m08-l2   …speramos la reacción en el marco micro (véase «m08-l2»): el precio se hunde hasta 59.700, se forma u…
m24-l1   m22      module m19      Es la fórmula de «m22» aplicada: mantén 0,1 BTC y que te salten en 5…
m24-l1   m25      module m22      … la que se construye la esperanza matemática («m25»).
m24-l1   m25      module m22      …ayoff es la mitad de la esperanza matemática («m25»). Lo que compras a cambio es una proporción m…
m24-l1   m27-l2   lesson m24-l2   …son dos versiones de tu sistema, y el diario («m27-l2») es el único instrumento que puede compararla…
m24-l1   m26      module m23      …diario, que es el límite de pérdida diaria de «m26» hecho mecánico. Escríbelo en una frase: si el…
m24-l1   m26      module m23      … −3% es la versión de ti de la que habla todo «m26»: anclada en volver a estar en cero, con sensa…
m24-l1   m26      module m23      …para juzgar su propio estado. La respuesta de «m26» era el compromiso previo —decidirlo cuando no…
m24-l1   m27-l2   lesson m24-l2   …se registro es la materia prima de todo lo de «m27-l2»: sin él no puedes distinguir una operación pe…
m24-l2   m27-l1   lesson m24-l1   …es una hipótesis: «este proceso gana dinero». «m27-l1» construyó una operación completa; esta lecció…
m24-l2   m25      module m22      …a que sí puedes juzgar (esta es la muestra de «m25»). El dinero mezcla la calidad de la decisión …
m24-l2   m22      module m19      … predeterminado. El riesgo fraccionario fijo («m22») —el mismo 1% en cada operación, sin importar…
m24-l2   m25      module m22      …pcionales: la lección de tamaño de muestra de «m25» se aplica aquí con más fuerza todavía, porque…
m24-l2   m26      module m23      …o más convencido, que es el momento en el que «m26» dice que eres más peligroso para ti mismo. Do…
m24-l2   m25      module m22      …de juzgar. Un puñado de operaciones es ruido («m25»): un sistema del 60% de acierto puede mostrar…
m24-l2   m25      module m22      …pleto, y una racha perdedora temprana normal («m25») puede acabar con la cuenta antes de que haya…
m24-l2   m20      module m18      …ng y los gaps nocturnos de cripto (unlocks de «m20», liquidez de m19-l2) no están en la demo, tra…
m24-l2   m19-l2   lesson m17-l2   …turnos de cripto (unlocks de m20, liquidez de «m19-l2») no están en la demo, trata los resultados en…
m33-l1   m25      module m22      «m25» te dio un número: la esperanza matemática, el…
m33-l1   m15-l1   lesson m31-l1   …temano es la línea de tendencia redibujada de «m15-l1»: una línea que se va ajustando hasta encajar …
m33-l1   m27      module m24      …ada operación registrada con la disciplina de «m27». Entrada, stop, objetivo, tamaño, el motivo y…
m33-l1   m25      module m22      …ate en lo que esto le hace a la aritmética de «m25». La esperanza es win rate por ganancia media …
m33-l1   m25      module m22      …rdedora demuestra tan poco como una ganadora. «m25» enseñó que ocho pérdidas seguidas son un suce…
m33-l1   m24      module m21      …perar de verdad. Tu stop-limit no se ejecuta («m24»); cruzas un spread más ancho del que suponía …
m33-l1   m26      module m23      …doblará para recuperar: el catálogo entero de «m26». La esperanza del sistema solo es la esperanz…
m33-l1   m27-l2   lesson m24-l2   …ne a prueba la psicología. Por eso justamente «m27-l2» pasa a tamaño real mínimo en lugar de quedars…
m33-l1   m25      module m22      …s dos son pérdidas. Los dos se sienten igual. «m25» ya enseñó que un sistema perfectamente bueno …
m33-l1   m26      module m23      …chas perdedoras largas por pura aritmética, y «m26» enseñó lo que esas rachas le hacen a una pers…
m33-l1   m27-l2   lesson m24-l2   …irlo. Para eso está el diario: la revisión de «m27-l2» distingue la mala racha del sistema de la tuy…
m25-l1   m14      module m14      …os dos lados de cada operación: eso era lo de «m14», que una operación siempre tiene comprador y …
m25-l1   m30      module m26      «m30» — CVD. El delta acumulado durante una sesión …
m25-l1   m31      module m27      «m31» — el libro de órdenes. Las propias órdenes en…
m25-l1   m32      module m28      «m32» — la prima entre exchanges. La misma moneda c…
m25-l1   m33      module m29      «m33» — gráficos de footprint y perfil de volumen. …
m25-l1   m14      module m14      La absorción de «m14» —volumen alto, ningún movimiento— es una supo…
m25-l1   m09      module m09      El spring de «m09» y su test —una estocada bajo el soporte que s…
m25-l1   m12      module m12      La divergencia de «m12» —el precio hace un extremo nuevo, el momentum…
m25-l1   m30      module m26      …n un oscilador calculado a partir del precio. «m30» aplica la lógica idéntica una capa más cerca …
m25-l1   m14      module m14      El hábito sigue siendo el de «m14»: confluencia. El flujo de órdenes es otra len…
m25-l1   m14      module m14      …as, y la advertencia sobre el wash trading de «m14» también vale aquí. Úsalo para la forma —si la…
m26-l1   m14      module m14      «m14» te enseñó a leer el volumen contra su propia …
m26-l1   m14      module m14      La mejora práctica está en la absorción. En «m14», la absorción era una inferencia fuerte: una …
m26-l1   m14      module m14      …do eso. El mismo suceso, con la suposición de «m14» convertida en lectura.
m26-l1   m12      module m12      …ica a la que va la lección, y es la lógica de «m12» cambiando el oscilador.
m26-l1   m12      module m12      …que se adelanta la divergencia de momentum de «m12», pero una capa más cerca de las operaciones y…
m26-l1   m09      module m09      «m09» te dejó un problema concreto y honesto. Un sp…
m26-l1   m14      module m14      …o no vuelve seguro el spring: es confluencia («m14»), una lente independiente más que coincide. P…
m26-l1   m29      module m25      …iste y es genuinamente útil, pero, como decía «m29», apila estimaciones; y si un exchange del agr…
m26-l1   m29      module m25      … "el precio va a subir". Es el mismo error de «m29», y el CVD lo hace más tentador porque la líne…
m26-l1   m12      module m12      …, ahí no hay divergencia. Es la disciplina de «m12» y se traslada sin cambios.
m26-l1   m22      module m19      …y se le pone stop como a cualquier otra cosa («m22»). "El CVD divergía" no es una razón para agua…
m27-l1   m30      module m26      «m30» iba de operaciones que ya habían ocurrido: fl…
m27-l1   m02      module m02      …mercado, las órdenes que están ahí esperando. «m02» presentó el libro de órdenes al principio, co…
m27-l1   m29      module m25      …lena. Eso es lo que significaba "agresivo" en «m29». Una compra grande a mercado que consume tres…
m27-l1   m24      module m21      La consecuencia es el slippage («m24»). En un libro profundo, una orden grande a me…
m27-l1   m14      module m14      … la comen, que es exactamente la absorción de «m14» y m30, y es deliberadamente invisible en el l…
m27-l1   m30      module m26      …men, que es exactamente la absorción de m14 y «m30», y es deliberadamente invisible en el libro.
m27-l1   m19      module m17      Por qué es frágil. Lee el desequilibrio como «m19» te enseñó a leer el funding: como una medida …
m27-l1   m17      module m15      «m17» te contó lo que pasa alrededor de una publica…
m27-l1   m17      module m15      Por eso el consejo de «m17» era quedarse al margen de la publicación en l…
m27-l1   m17      module m15      …e del día, que es exactamente lo que te decía «m17», ahora con la razón puesta.
m28-l1   m19      module m17      «m19» te enseñó la base: el hueco entre un perpetuo…
m28-l1   m19      module m17      Y lee el nivel en sí con la cautela de «m19»: esto es una lectura de posicionamiento y flu…
m28-l1   m02      module m02      …e de los dos exchanges (el "not your keys" de «m02»).
m28-l1   m19      module m17      …Es una lectura de flujo y, como el funding en «m19», es más informativa en los extremos y casi no…
m29-l1   m31      module m27      Como «m31», el libro de órdenes, esta lección es concept…
m29-l1   m29      module m25      Qué ves que una vela esconde. «m29» argumentaba que una vela es un agregado que d…
m29-l1   m29      module m25      …l esfuerzo. Fíjate en que esto es el delta de «m29», pero resuelto por nivel de precio en vez de …
m29-l1   m03      module m03      …ué esto mejora los "soportes y resistencias". «m03» y m08 enseñaban los niveles como sitios donde…
m29-l1   m08      module m08      …o mejora los "soportes y resistencias". m03 y «m08» enseñaban los niveles como sitios donde el pr…
m29-l1   m08      module m08      …es exactamente lo que pedía la advertencia de «m08» sobre trazar líneas que encajen con tu sesgo.
m29-l1   m08      module m08      …volumen alto son candidatos a los niveles que «m08» te enseñó a testear, con pruebas adjuntas.
m29-l1   m09      module m09      …n a las fronteras del rango de negociación de «m09» una definición medida en lugar de trazada a m…
m29-l1   m08      module m08      Y todas las advertencias de «m08» siguen intactas. Un nivel con volumen detrás …
m29-l1   m08      module m08      …diccionario de patrones de vela con nombre de «m08» y que el libro de órdenes de m31: la frontera…
m29-l1   m31      module m27      …on nombre de m08 y que el libro de órdenes de «m31»: la frontera del curso está señalada, no esco…
m29-l1   m26      module m23      …top porque "tiene que llegar", es material de «m26».
m30-l1   m19-l2   lesson m17-l2   …res: las bolsas de liquidez y los barridos en «m19-l2», el spring y la absorción en m09, el cambio d…
m30-l1   m09      module m09      …rridos en m19-l2, el spring y la absorción en «m09», el cambio de carácter en m08-l1, la inversió…
m30-l1   m08-l1   lesson m08-l1   …la absorción en m09, el cambio de carácter en «m08-l1», la inversión de roles y los soportes como zo…
m30-l1   m08-l1   lesson m08-l1   …de roles y los soportes como zonas también en «m08-l1», el vacío de liquidez en m08-l2. Lo que falta…
m30-l1   m08-l2   lesson m08-l2   …as también en m08-l1, el vacío de liquidez en «m08-l2». Lo que falta no es mecánica: es el diccionar…
m30-l1   m08-l2   lesson m08-l2   …ión hace con el léxico SMC exactamente lo que «m08-l2» hizo con los patrones de vela japoneses: mape…
m30-l1   m13      module m13      …al por sí sola. Y adopta la misma postura que «m13» con Fibonacci y m10-l1 con la media de 200: m…
m30-l1   m10-l1   lesson m10-l1   …opta la misma postura que m13 con Fibonacci y «m10-l1» con la media de 200: merece la pena entender …
m30-l1   m19-l2   lesson m17-l2   …o: comprar mucho sube el precio en su contra («m19-l2»). Así que trabaja una zona, absorbiendo lo qu…
m30-l1   m09      module m09      … el comprador que absorbe dentro del rango de «m09».
m30-l1   m08-l1   lesson m08-l1   …es una zona, como todo soporte en este curso («m08-l1»), porque está definida por los extremos de un…
m30-l1   m08-l1   lesson m08-l1   …una mecha asomando —decide el cuerpo, como en «m08-l1»—: el impulso continúa y deja cierres hasta 2.…
m30-l1   m08-l1   lesson m08-l1   …gistro y los aciertos se queden. Trátala como «m08-l1» trata cualquier nivel: un sitio donde es más …
m30-l1   m08-l2   lesson m08-l2   «m08-l2» ya te avisó de este fenómeno desde el otro ex…
m30-l1   m08-l2   lesson m08-l2   …nfiar de ella. Ese aviso sigue en pie. Lo que «m08-l2» dejó fuera es que el mismo vacío, cuando un m…
m30-l1   m10-l1   lesson m10-l1   …y abren con salto, y el cripto funciona 24/7 («m10-l1»), así que esto es siempre un desequilibrio de…
m30-l1   m08-l1   lesson m08-l1   «m08-l1» te enseñó la escalera —máximos y mínimos más …
m30-l1   m08-l1   lesson m08-l1   …crónimo añade una palabra, no una idea; ahora «m08-l1» también lo nombra, donde vive la escalera.
m30-l1   m08-l1   lesson m08-l1   …ntes del movimiento que rompió la estructura. «m08-l1» (inversión de roles, zonas en vez de líneas) …
m30-l1   m09      module m09      …inversión de roles, zonas en vez de líneas) y «m09» (absorción).
m30-l1   m08-l2   lesson m08-l2   …de una sola vela, donde casi nada se negoció. «m08-l2», el vacío de liquidez, ahora enseñado también…
m30-l1   m19-l2   lesson m17-l2   …reposo, con recuperación inmediata del nivel. «m19-l2», y las mechas de caza de stops de m08-l1.
m30-l1   m08-l1   lesson m08-l1   …vel. m19-l2, y las mechas de caza de stops de «m08-l1».
m30-l1   m08-l1   lesson m08-l1   …ue continúa la secuencia y la que la termina. «m08-l1».
m30-l1   m13      module m13      … punto medio de un rango que has dibujado tú. «m13», la línea del 0,5.
m30-l1   m13      module m13      …po "la entrada óptima está en el 0,705–0,79": «m13» ya zanjó que ningún mecanismo obliga a un mer…
m30-l1   m32      module m28      …ecanismo de verdad: la prima entre exchanges («m32») y la base perpetuo-contra-spot (m19).
m30-l1   m19      module m17      …changes (m32) y la base perpetuo-contra-spot («m19»).
m30-l1   m08-l2   lesson m08-l2   La conclusión es la de «m08-l2», en otro idioma: no hay un sistema nuevo, hay…
m30-l1   m19-l2   lesson m17-l2   …s órdenes de protección y por qué se agrupan («m19-l2»), y qué le hace la venta forzada a un libro f…
m30-l1   m06-l1   lesson m06-l1   …qué le hace la venta forzada a un libro fino («m06-l1»). Puedes discutirlo, comprobarlo y equivocart…
m30-l1   m29      module m25      …to sin ella. Es la misma frontera que dibujan «m29» con el flujo de órdenes y m33 con el footprin…
m30-l1   m33      module m29      …era que dibujan m29 con el flujo de órdenes y «m33» con el footprint: decir qué hace la herramien…
m30-l1   m26      module m23      …sa justifica aguantar una posición perdedora («m26»).
m30-l1   m08-l1   lesson m08-l1   …acción dentro de la banda, con la holgura que «m08-l1» y m13 exigen a cualquier nivel, y con el cier…
m30-l1   m13      module m13      …ntro de la banda, con la holgura que m08-l1 y «m13» exigen a cualquier nivel, y con el cierre —nu…
m30-l1   m08-l2   lesson m08-l2   …la mecánica, no hay operación. Es la regla de «m08-l2» sin cambios: si no puedes decir qué habría en…
m30-l1   m22      module m19      …ncia al stop y el stop sale de la estructura («m22»). Un stop más allá del extremo lejano de una …
m30-l1   m26      module m23      …p ampliado para que la zona "tenga margen" es «m26».
#
# Self-mentions: the mention names the page it sits on, so a link would go nowhere new.
