# glossary links — es
#
# Generated by lib/glossary/report.test.ts from content/. Reviewed by hand, then frozen: any
# content change that moves a link shows up here as a diff. Do not hand-edit — fix the prose or
# the entry's `match` / `link` / `link_except` in glossary.yaml and regenerate.
#
# 562 web marks · 57 of them also a PDF link · 119 linkable terms the book never links
#
# lesson   policy  term id                      context, with the marked words in «»
m03-l2   WP      g-cascade                    …nte), un movimiento brusco puede disparar una «cascada» de cierres forzosos —liquidaciones— que perfo…
m03-l2   WP      g-order-flow                 … nivel mucho más allá de donde lo llevaría el «flujo de órdenes» genuino, y luego se recupera. Otra falsa rupt…
m04-l1   WP      g-expiry                     no tiene fecha de «vencimiento»
m04-l1   W       g-stablecoin                 en el valor del contrato, normalmente en una «stablecoin» como USDT. Eso es lo que te permite ponerte c…
m04-l1   WP      g-notional                   «nocional»
m04-l1   W       g-order-book                 …rvioso y fácil de disparar, sobre todo con un «libro de órdenes» fino, donde una sola orden grande puede atrav…
m04-l1   W       g-spot                       …ido a partir del índice más amplio de precios «spot» en varias plataformas (más un pequeño ajuste …
m04-l1   WP      g-unrealized-pnl             Tu «PnL no realizado» y —lo más importante— tu nivel de
m04-l1   WP      g-liquidation                «liquidación»
m04-l1   W       g-wick                       …orzoso siguiera la última operación, una sola «mecha» momentánea en una plataforma fina podría cerr…
m04-l1   W       g-leverage                   …uidación: un largo abierto a 9.500 con 10× de «apalancamiento» tiene su nivel de cierre forzoso (medido sobr…
m04-l1   WP      g-funding-rate               «tasa de funding»
m04-l1   WP      g-fee                        "El funding es una «comisión» que cobra el exchange." No lo es. El funding …
m04-l1   W       g-candle                     …debajo de su nivel de liquidación durante una «vela» violenta y cierra él mismo la posición, presa…
m05-l1   W       g-stablecoin                 …s a su vez un activo con su propio riesgo —la «stablecoin» que lo guarda puede perder su paridad, y el b…
m05-l1   W       g-liquidation                …a; el margen de mantenimiento es el umbral de «liquidación» forzosa. El
m05-l1   WP      g-liquidation-price          … de que la posición se liquide. (Calcular ese «precio de liquidación» exacto es el próximo módulo.)
m05-l1   W       g-pullback                   …cial sobre el papel es la razón por la que un «retroceso» del 5% —ruido, en la mayoría de los activos— …
m05-l1   W       g-cascade                    «Cascadas» de liquidación.
m05-l1   W       g-wick                       …ntación se pasa de frenada con violencia: la "«mecha» de liquidación" que se dispara y se recupera …
m05-l1   W       g-contract                   Este curso enseña de principio a fin el «contrato»
m05-l1   W       g-long                       … volátil que se mueve con la posición. Mantén «un largo» en un contrato inverso y una caída del precio…
m06-l1   W       g-margin                     …ge cerrando tu posición a la fuerza porque tu «margen» ya no puede cubrir tus pérdidas. No es un cas…
m06-l1   W       g-leverage                   …tes de entrar, controlas tu riesgo. Si no, el «apalancamiento» te controla a ti.
m06-l1   W       g-notional                   : una fracción del valor «nocional» de la posición. A medida que el precio va en …
m06-l1   W       g-maintenance-margin         «margen de mantenimiento»
m06-l1   W       g-isolated-margin            «Margen aislado» (isolated)
m06-l1   W       g-cross-margin               «Margen cruzado» (cross)
m06-l1   W       g-initial-margin             tasa de «margen inicial»
m06-l1   W       g-order-book                 contra el «libro de órdenes»; para cerrar un short
m06-l1   WP      g-squeeze                    …ados los cierran a la fuerza comprando, en un «squeeze».
m06-l1   W       g-wick                       por esto las "«mechas» de liquidación" se pasan de frenada tan viole…
m06-l1   W       g-candle                     , y vuelve en la misma «vela»: el gráfico casi no se entera. Tu posición a …
m06-l1   W       g-volume                     … de semana: menos creadores de mercado, menos «volumen». El mismo flujo de liquidaciones forzosas que…
m07-l1   W       g-mark-price                 …l exchange lo recalcula tick a tick contra el «precio de marca» para saber en todo momento cuánto vale tu pos…
m07-l1   W       g-candle                     …SDT en el banco; es una foto que la siguiente «vela» puede borrar. Y la asimetría juega en tu cont…
m07-l1   W       g-margin                     … lo que el exchange vigila para decidir si tu «margen» todavía cubre la posición. Deja crecer una pé…
m07-l1   W       g-spread                     …na orden a mercado, o una límite que cruza el «spread» y se ejecuta al instante.
m07-l1   W       g-order-book                 Un exchange solo es utilizable si su «libro de órdenes» tiene profundidad, y las órdenes límite en re…
m07-l1   W       g-depth                      …lo es utilizable si su libro de órdenes tiene «profundidad», y las órdenes límite en reposo son lo que le…
m07-l1   W       g-notional                   «nocional»
m07-l1   W       g-leverage                   …ión × precio), no sobre tu margen, así que el «apalancamiento» multiplica su mordisco en relación con el cap…
m07-l1   W       g-funding                    El «funding» es un pago periódico que se intercambia direc…
m07-l1   W       g-contract                   …ambia directamente entre longs y shorts en un «contrato» perpetuo (tiene su propio módulo). Según el s…
m07-l1   W       g-funding-rate               …tiene su propio módulo). Según el signo de la «tasa de funding», o bien los longs pagan a los shorts, o los s…
m07-l1   W       g-liquidation                …petuo no vence nunca, así que no hay fecha de «liquidación» que arrastre su precio de vuelta a la línea d…
m07-l1   W       g-spot                       …e arrastre su precio de vuelta a la línea del «spot». El funding es la correa: cuando el perpetuo …
m08-l1   W       g-support                    «soporte»
m08-l1   W       g-resistance                 «resistencia»
m08-l1   W       g-candle                     , no una línea —una banda de unas cuantas «velas» de ancho— porque:
m08-l1   W       g-wick                       «Mechas» y cierres cuentan historias diferentes; el "n…
m08-l1   W       g-body                       «cuerpos» y mechas de los swings que de verdad giraron
m08-l1   W       g-range                      Tarde o temprano el precio sale del «rango». La pregunta es si lo hizo
m08-l1   W       g-volume                     más «volumen»
m08-l1   W       g-role-reversal              «inversión de roles»
m08-l1   W       g-short                      …ncia han sido arrollados y muchos cierran sus «cortos» en el retroceso hacia el nivel, convirtiendo …
m08-l1   W       g-trend                      «tendencia» alcista
m08-l1   WP      g-bos                        ruptura de estructura («BOS»)
m08-l1   WP      g-channel                    —líneas de tendencia y «canales»— y
m08-l1   WP      g-premium                    . El mercado paga una «prima» a quien está dispuesto a llegar una o dos vel…
m08-l1   W       g-order-book                 …nales cierran; el cripto nunca lo hace, y ese «libro de órdenes» siempre activo cambia cómo se comporta la est…
m08-l1   W       g-leverage                   El «apalancamiento» concentra los stops y los precios de liquidac…
m08-l1   W       g-liquidation                …camiento concentra los stops y los precios de «liquidación» justo más allá de los máximos y mínimos de sw…
m08-l2   W       g-support                    …a que el precio reaccione en el nivel": en un «soporte» roto durante el retest (m08), en un retroceso…
m08-l2   W       g-retest                     …e en el nivel": en un soporte roto durante el «retest» (m08), en un retroceso de Fibonacci (m13, pas…
m08-l2   W       g-pullback                   …n soporte roto durante el retest (m08), en un «retroceso» de Fibonacci (m13, paso 4), en el spring que …
m08-l2   WP      g-fibonacci                  …o durante el retest (m08), en un retroceso de «Fibonacci» (m13, paso 4), en el spring que testea un ran…
m08-l2   WP      g-spring                     …n retroceso de Fibonacci (m13, paso 4), en el «spring» que testea un rango de Wyckoff (m09). Esta le…
m08-l2   W       g-range                      …cci (m13, paso 4), en el spring que testea un «rango» de Wyckoff (m09). Esta lección por fin dice q…
m08-l2   WP      g-wyckoff                    … paso 4), en el spring que testea un rango de «Wyckoff» (m09). Esta lección por fin dice qué aspecto …
m08-l2   W       g-candle                     El truco es dejar de pensar en las «velas» como un catálogo de formas que memorizar y em…
m08-l2   W       g-order-flow                 huella del «flujo de órdenes»
m08-l2   W       g-wick                       Un rechazo es una «mecha» larga con un cuerpo pequeño: el clásico
m08-l2   W       g-body                       Un rechazo es una mecha larga con un «cuerpo» pequeño: el clásico
m08-l2   WP      g-wedge                      … una: a lo largo de una serie de barras es la «cuña» y el triángulo de
m08-l2   WP      g-triangle                   … largo de una serie de barras es la cuña y el «triángulo» de
m08-l2   W       g-leverage                   …n nivel defendido en horas activas. Y como el «apalancamiento» amontona stops y liquidaciones justo pasados …
m08-l2   W       g-depth                      …icción orgánica. Pondera cada reacción por la «profundidad» del libro en que ocurrió y por el nivel en qu…
m09-l1   W       g-range                      …silencio, a lo largo del tiempo, dentro de un «rango» lateral. Esa compra o venta paciente deja una…
m09-l1   W       g-contract                   2000 «contratos»
m09-l1   W       g-order-book                 pero el «libro de órdenes» visible solo ofrece
m09-l1   W       g-trend                      — tras una «tendencia» bajista, el precio deja de caer y se mueve de…
m09-l1   WP      g-fomo                       …sta fabrica a los compradores confiados y con «FOMO» en los que un gran vendedor necesita descarga…
m09-l1   W       g-support                    «soporte»
m09-l1   W       g-resistance                 «resistencia»
m09-l1   W       g-false-break                es una «falsa ruptura»
m09-l1   W       g-short                      …l suelo —activando los stops y tentando a los «cortos»— y luego rebota hacia arriba. En la lectura d…
m09-l1   W       g-breakout                   …e la última oferta cambiando de manos, no una «ruptura» bajista.
m09-l1   W       g-candle                     …l nivel que confirma un spring —las formas de «vela» que la registran— se lee en m08-l2), y acepta…
m09-l1   W       g-narrative                  en vez de inventarle una «narrativa».
m09-l1   W       g-altcoin                    En un libro de órdenes poco profundo de una «altcoin», una venta a mercado relativamente pequeña pu…
m09-l1   W       g-wick                       …mercado relativamente pequeña puede hacer una «mecha» del 5–8% por debajo del soporte, barrer los s…
m09-l1   W       g-liquidation                …el soporte, barrer los stops y los niveles de «liquidación» agrupados justo debajo y darse la vuelta. A v…
m09-l1   W       g-funding                    El «funding» y el apalancamiento agrupan los stops.
m09-l1   W       g-leverage                   El funding y el «apalancamiento» agrupan los stops.
m09-l1   W       g-squeeze                    short «squeeze»
m09-l1   W       g-depth                      «profundidad» del libro en que ocurrió
m09-l2   W       g-range                      …e a las piezas: el ciclo de cuatro etapas, el «rango», las fases A–E, el spring y el upthrust. Esta…
m09-l2   W       g-spring                     …de cuatro etapas, el rango, las fases A–E, el «spring» y el upthrust. Esta lección va más despacio y…
m09-l2   W       g-upthrust                   …apas, el rango, las fases A–E, el spring y el «upthrust». Esta lección va más despacio y recorre
m09-l2   W       g-accumulation               un único rango de «acumulación» de principio a fin
m09-l2   W       g-distribution               la «distribución» es la misma historia del revés
m09-l2   W       g-trend                      en varias semanas, una «tendencia» bajista limpia, con los vendedores al mando. …
m09-l2   W       g-support                    «soporte»
m09-l2   W       g-resistance                 «resistencia»
m09-l2   W       g-wyckoff                    …dedores cansados a los compradores pacientes. «Wyckoff» lo llama
m09-l2   W       g-candle                     … vuelve rápido hacia dentro, en tres o cuatro «velas». Ninguna caída posterior se acerca ya a ese s…
m09-l2   W       g-breakout                   la «ruptura» por debajo de 1.800 es un cebo. Un mínimo nue…
m09-l2   W       g-short                      …tops que descansan bajo el soporte y tienta a «cortos» nuevos, y esas órdenes de venta son justo la …
m09-l2   W       g-wick                       la «mecha» hasta 1.745 dispara los stops de todos; el pr…
m09-l2   W       g-pullback                   …a la poca venta que aparece, de modo que cada «retroceso» es más superficial que el anterior. El manual…
m09-l2   W       g-markup                     «markup»
m09-l2   W       g-utad                       «UTAD»
m09-l2   W       g-markdown                   «markdown»
m09-l2   W       g-false-break                La simetría es exacta: un spring es una «falsa ruptura»
m09-l2   W       g-order-book                 «libro de órdenes» fino de una altcoin
m09-l2   W       g-altcoin                    libro de órdenes fino de una «altcoin»
m09-l2   W       g-liquidation                …lá del límite y que incluso puede provocar la «liquidación» forzosa de posiciones sobreapalancadas— es fá…
m09-l2   W       g-depth                      «profundidad»
m10-l1   W       g-candle                     …s. Hace bien una única cosa: elimina el ruido «vela» a vela para que la dirección de fondo se vea …
m10-l1   W       g-trend                      …y tranquila, pero más lenta en admitir que la «tendencia» ha cambiado. Más rápida no es mejor; es otro …
m10-l1   W       g-range                      …a MM plana significa que no hay tendencia: un «rango».
m10-l1   WP      g-swing-trading              20 y 50, para «swing trading»
m10-l1   W       g-fibonacci                  …la misma razón que da m13 para los niveles de «Fibonacci»: bastante gente vigila las mismas líneas y la…
m10-l1   W       g-pullback                   …edio de los compradores recientes, así que un «retroceso» hasta ella es un retroceso hasta donde entró …
m10-l1   W       g-support                    …raviesa de lado a lado, y la misma MM que era «soporte» pasa a ser resistencia en la vuelta.
m10-l1   W       g-resistance                 …ado, y la misma MM que era soporte pasa a ser «resistencia» en la vuelta.
m10-l1   W       g-altcoin                    …oría de las acciones. Una MM rápida sobre una «altcoin» volátil da latigazos constantes, generando cr…
m10-l1   W       g-wick                       …mercado más tranquilo nunca produciría, y una «mecha» de fin de semana con poca liquidez puede sacu…
m11-l1   W       g-range                      …erivado del precio, que se mueve dentro de un «rango» acotado e intenta describir el
m11-l1   W       g-candle                     «velas»), y comprime el resultado en una escala de
m11-l1   WP      g-divergence                 (Convergencia/«Divergencia» de Medias Móviles) se construye con tres piez…
m11-l1   W       g-ema                        : la diferencia entre una «EMA» rápida (12) y una EMA lenta (26) del precio. …
m11-l1   W       g-trend                      …lta, siguiendo con los números de arriba. Una «tendencia» alcista se pausa: la EMA de 12 baja a 30.360 …
m11-l1   W       g-golden-cross               . Ese es el «cruce dorado» (o de la muerte) de m10, sobre el par 12/26, …
m11-l1   W       g-fibonacci                  …stiene sobre una vela y m13 sobre un nivel de «Fibonacci».
m11-l1   W       g-pullback                   : un «retroceso» puso el histograma en negativo, ese retroceso…
m11-l1   W       g-whipsaw                    «whipsaw»
m11-l1   W       g-narrative                  …ecio mucho, así que un tirón impulsado por la «narrativa» puede mantener el RSI en un extremo mucho más…
m11-l1   W       g-funding                    El «funding» es la pista de agotamiento más honesta.
m11-l1   W       g-long                       … funding se vuelve marcadamente positivo (los «largos» pagan a los cortos para mantener la posición …
m11-l1   W       g-short                      …marcadamente positivo (los largos pagan a los «cortos» para mantener la posición abierta), y
m12-l1   W       g-oscillator                 es un desacuerdo entre el precio y un «oscilador» de momentum (RSI o MACD). El precio hace un n…
m12-l1   W       g-rsi                        …o entre el precio y un oscilador de momentum («RSI» o MACD). El precio hace un nuevo extremo; el …
m12-l1   W       g-macd                       …e el precio y un oscilador de momentum (RSI o «MACD»). El precio hace un nuevo extremo; el oscilad…
m12-l1   W       g-higher-high-hh             «máximo más alto»
m12-l1   W       g-lower-high-lh              «máximo más bajo»
m12-l1   W       g-lower-low-ll               «mínimo más bajo»
m12-l1   W       g-higher-low-hl              «mínimo más alto»
m12-l1   W       g-trend                      …icieron menos participantes, ya cansados. Una «tendencia» que ya no puede hacer nuevos máximos
m12-l1   W       g-pullback                   y suele aparecer durante un «retroceso», no en el extremo del movimiento.
m12-l1   W       g-resistance                 contra una «resistencia» que ya ha rechazado el precio
m12-l1   W       g-support                    en un «soporte» que ya ha aguantado
m12-l1   W       g-candle                     , así que las divergencias se forman en «velas» de fin de semana y de madrugada que son finas…
m12-l1   W       g-volume                     …de malinterpretar: una "divergencia" con poco «volumen» de sábado suele evaporarse cuando la liquidez…
m12-l1   W       g-funding                    «funding»
m12-l1   W       g-long                       …ente puede financiar justo esto: mientras los «largos» estén dispuestos a seguir pagando por mantene…
m12-l1   W       g-short                      …e la cuenta de un principiante puede aguantar «en corto» en contra.
m13-l1   W       g-pullback                   «retrocesos» de Fibonacci
m13-l1   W       g-trend                      antes de que la «tendencia» se reanude. Son una herramienta de medida, no…
m13-l1   W       g-range                      …o de un máximo a un mínimo— y esta divide ese «rango» en ratios. Cada ratio es la fracción del impu…
m13-l1   WP      g-confluence                 Aportan «confluencia».
m13-l1   W       g-support                    «soporte»
m13-l1   W       g-wick                       …línea de láser, y el precio se pasa de largo, «mecha» a través y gira con toda naturalidad, o se qu…
m13-l1   WP      g-setup                      … número redondo, con una reacción real, es un «setup».
m13-l1   W       g-candle                     …ómo se ve una reacción genuina —las formas de «vela» que la registran— es el tema de m08-l2.)
m14-l1   W       g-candle                     Cada «vela» te dice hacia dónde fue el precio. El
m14-l1   W       g-volume                     «volumen»
m14-l1   W       g-contract                   …volumen no significa nada por sí solo: 40.000 «contratos» es mucho o insignificante según lo que ese me…
m14-l1   W       g-moving-average             , normalmente una «media móvil» de las últimas 20 barras o así. Si la media d…
m14-l1   W       g-breakout                   …ás útil que hace el volumen es decirte si una «ruptura» es real. Cuando el precio rompe un nivel —por…
m14-l1   W       g-resistance                 …o el precio rompe un nivel —por encima de una «resistencia», por debajo de un soporte— el movimiento del …
m14-l1   W       g-support                    …r encima de una resistencia, por debajo de un «soporte»— el movimiento del precio en sí se ve igual l…
m14-l1   W       g-false-break                …deo que se da la vuelta sin ruido: la clásica «falsa ruptura», o "fakeout".
m14-l1   W       g-fakeout                    …uelta sin ruido: la clásica falsa ruptura, o "«fakeout»".
m14-l1   W       g-range                      …en sube cinco veces su altura normal, pero el «rango» de la vela es un minúsculo 0,1 %. Los vendedo…
m14-l1   W       g-divergence                 Igual que las «divergencias» de momentum del módulo del oscilador, un perf…
m14-l1   W       g-oscillator                 …e las divergencias de momentum del módulo del «oscilador», un perfil de volumen que se adelgaza es una …
m14-l1   WP      g-volume-profile             …cias de momentum del módulo del oscilador, un «perfil de volumen» que se adelgaza es una lectura temprana de la…
m14-l1   W       g-trend                      …ntes coincidan. La estructura (un nivel o una «tendencia» real y ya testeada), un indicador (RSI o MACD…
m14-l1   W       g-rsi                        … tendencia real y ya testeada), un indicador («RSI» o MACD) y el volumen son tres lentes distinta…
m14-l1   W       g-macd                       …ncia real y ya testeada), un indicador (RSI o «MACD») y el volumen son tres lentes distintas. Una …
m14-l1   W       g-order-flow                 …ficción. Prefiere el volumen de exchanges con «flujo de órdenes» real, y apóyate en medidas agregadas u on-cha…
m31-l1   W       g-order-book                 …qué eso funciona: un precio es un sitio en el «libro de órdenes», y las órdenes descansan en precios. El stop …
m31-l1   W       g-trend                      …fico a diez personas y saldrán diez líneas de «tendencia», porque la línea depende de qué mínimos decid…
m31-l1   W       g-wick                       …imos decides que cuentan y de si te anclas en «mechas» o en cuerpos. Esa subjetividad no es razón pa…
m31-l1   W       g-body                       … que cuentan y de si te anclas en mechas o en «cuerpos». Esa subjetividad no es razón para saltarse l…
m31-l1   W       g-breakout                   … con lo que la sección siguiente hace con una «ruptura».
m31-l1   W       g-candle                     Si cada «vela» nueva te mueve el anclaje, lo que tienes es u…
m31-l1   W       g-volume                     , «volumen» y confirmación. Una ruptura a la que nadie se…
m31-l1   W       g-support                    …mente por obvia. Si todo el mundo ve el mismo «soporte» ascendente, todo el mundo pone su stop justo …
m31-l1   W       g-range                      Un «rango» (
m31-l2   W       g-candle                     te enseñó una sola «vela» cuyo rango se desploma: cuerpo pequeño, mecha…
m31-l2   W       g-body                       … enseñó una sola vela cuyo rango se desploma: «cuerpo» pequeño, mechas pequeñas, una barra en la que…
m31-l2   W       g-wick                       … vela cuyo rango se desploma: cuerpo pequeño, «mechas» pequeñas, una barra en la que casi no pasó na…
m31-l2   W       g-channel                    Coge el «canal» de
m31-l2   W       g-divergence                 , la misma lectura que te da la «divergencia» precio/volumen de
m31-l2   W       g-volume                     …misma lectura que te da la divergencia precio/«volumen» de
m31-l2   W       g-fibonacci                  de una proporción de «Fibonacci» y
m31-l2   W       g-breakout                   …uantifica ni el permiso para adelantarse a la «ruptura».
m32-l1   W       g-candle                     te dio una sola «vela» de compresión y
m32-l1   W       g-moving-average             una «media móvil» del cierre, la
m32-l1   W       g-trend                      …u propia media reciente, que en un mercado en «tendencia» es donde vive el precio: el mismo error que
m32-l1   W       g-rsi                        nombró para un «RSI» sobrecomprado, con otra envolvente encima.
m32-l1   W       g-histogram                  «histograma» con signo
m32-l1   W       g-liquidation                …. No hay ningún participante forzado, ninguna «liquidación», nadie en el lado equivocado.
m32-l1   W       g-short                      …ecio sube hasta una bolsa de liquidaciones de «cortos», esos cortos se recompran a la fuerza, esa co…
m32-l1   W       g-funding                    …ne la misma forma que el interés abierto y el «funding» de
m32-l1   W       g-breakout                   …ibe una condición; la dirección la lees de la «ruptura», con la misma disciplina de cierre de cuerpo …
m32-l1   W       g-body                       …ruptura, con la misma disciplina de cierre de «cuerpo» y participación que
m15-l1   W       g-altcoin                    …ente al activo de reserva. Y como Ether es la «altcoin» más grande y líquida, ese único par sirve de …
m15-l1   W       g-bid                        …a, y a menudo no hay ninguna orden de compra («bid») a la que vender.
m15-l1   W       g-trend                      «tendencia», no un calendario
m15-l1   WP      g-inflation                  …ubieron los tipos con fuerza para combatir la «inflación» y cripto cayó con dureza al mismo compás que …
m15-l1   W       g-volume                     El «volumen» se adelgaza los fines de semana: las instituc…
m15-l1   W       g-liquidation                justo dentro de una repisa de «liquidación» ante un anuncio
m15-l1   W       g-liquidation-price          : una posición apalancada cuyo «precio de liquidación» queda pasado un cúmulo visible de stops (ver …
m15-l1   W       g-leverage                   …eventos que no puedes valorar, y nunca lleves «apalancamiento» cuyo precio de liquidación quede justo pasado…
m15-l1   W       g-spread                     …ramada. Un stop ajustado no protege cuando el «spread» lo atraviesa de golpe: te llevas la pérdida s…
m16-l1   W       g-volume                     Momentum y «volumen» de mercado (~25%)
m16-l1   W       g-dominance                  «Dominancia» de Bitcoin
m16-l1   W       g-long                       …s para empujar el precio más arriba, y muchos «largos» tardíos y nerviosos que venderán rápido a la …
m16-l1   W       g-funding                    … índice lleva una semana por encima de 90, el «funding» es muy positivo (los largos pagan a los corto…
m16-l1   W       g-short                      …nding es muy positivo (los largos pagan a los «cortos» cada pocas horas solo por mantener la posició…
m16-l1   W       g-cascade                    … 15% en unas horas con un volumen enorme, una «cascada» de
m16-l1   WP      g-trigger                    …con el lado saturado. No marca un momento. El «trigger» para entrar de verdad tiene que venir de tus …
m16-l1   W       g-imbalance                  …ce que la masa está desequilibrada, no que el «desequilibrio» esté a punto de terminar. Un extremo puede ah…
m16-l1   W       g-breakout                   … disfrazado, un principiante "confirmará" una «ruptura» alcista del precio señalando la codicia en au…
m16-l1   W       g-narrative                  … precisamente de esas cosas, así que una sola «narrativa» puede empujar todo el indicador a codicia ext…
m17-l1   W       g-spot                       …uturos perpetuos generan datos que el mercado «spot» no tiene: cuántos contratos están abiertos y …
m17-l1   W       g-contract                   …n datos que el mercado spot no tiene: cuántos «contratos» están abiertos y quién paga a quién por mante…
m17-l1   W       g-volume                     …han abierto y aún no se han cerrado. No es el «volumen» (el volumen cuenta operaciones, y un mismo co…
m17-l1   W       g-short                      …e futuros tiene dos lados: por cada largo hay «un corto». Un contrato solo nace cuando entran a la vez…
m17-l1   W       g-long                       compradores agresivos abren «largos» nuevos. El movimiento está
m17-l1   W       g-trend                      por posiciones nuevas: la clase de «tendencia» más sana.
m17-l1   W       g-candle                     la misma serie de precio, «vela» por vela, hasta el final del tramo común
m17-l1   W       g-expiry                     …nunca vencen. Un futuro normal tiene fecha de «vencimiento», y a medida que esa fecha se acerca su precio…
m17-l1   W       g-funding                    «funding» rate
m17-l1   W       g-leverage                   … está dispuesta la masa a pagar de más por el «apalancamiento»; el funding dice lo que ese sobreprecio le cu…
m17-l1   W       g-squeeze                    … gana el sueldo en los casos violentos. En un «squeeze» (lección 2) el flujo forzado cae sobre el
m17-l1   W       g-margin                     …nding aún tranquilo es una tendencia sana con «margen» para correr, mientras que un precio que sube …
m17-l2   W       g-open-interest-oi           …rimera lección leía a la masa desde lejos: el «open interest» para saber cuán
m17-l2   W       g-funding                    está un movimiento y el «funding» para saber cuán
m17-l2   W       g-order-book                 es. Esta lección se acerca del todo al «libro de órdenes»:
m17-l2   W       g-cascade                    …á apalancado, esa carrera se convierte en una «cascada» que se alimenta a sí misma: un squeeze. Nada …
m17-l2   W       g-liquidation                «liquidación»
m17-l2   W       g-margin                     …n apalancada por parte del exchange cuando su «margen» ya no puede cubrir la pérdida. Un cierre forz…
m17-l2   WP      g-stop-loss                  «stop-loss» de largos
m17-l2   W       g-long                       stop-loss de «largos»
m17-l2   W       g-short                      stop-loss de «cortos»
m17-l2   W       g-candle                     una sola «vela»
m17-l2   W       g-breakout                   y se da la vuelta. El exceso no es una «ruptura» fallida: es la bolsa siendo tomada. La pista …
m17-l2   W       g-engulfing                  , una «envolvente» trazada en un gráfico que queda dentro de otr…
m17-l2   W       g-accumulation               «Acumulación».
m17-l2   W       g-leverage                   Un lado se amontona con «apalancamiento». El funding se vuelve unilateral (de la lecci…
m17-l2   W       g-spot                       Una ráfaga de compra en «spot» lleva a ETH a 3.000 y asoma por encima. Los p…
m17-l2   W       g-trend                      … de ETH en 3.400 creyendo que ha empezado una «tendencia» nueva. Pero el combustible era compra forzada…
