# lesson references — en
#
# Generated by lib/refs/report.test.ts from content/. Reviewed by hand, then frozen: any content
# change that moves, adds or drops a reference shows up here as a diff. Do not hand-edit — fix
# the prose and regenerate.
#
# 228 references from 29 lessons · 0 self-mentions deliberately unlinked · 0 dangling
#
# lesson   mention  target          context, with the mention in «»
m03-l2   m27-l1   lesson m24-l1   …r — is the top-down step of the trading plan («m27-l1»).
m34-l1   m04-l1   lesson m04-l1   … and positive funding means longs pay shorts («m04-l1»). You are the short. Every eight hours, the c…
m34-l1   m19-l1   lesson m17-l1   …e funding rate are one fact seen twice, which «m19-l1» already said. That means the carry can be ent…
m34-l1   m19-l1   lesson m17-l1   … leverage-mania thermometer, the same reading «m19-l1» takes from the other side of the table.
m34-l1   m19-l2   lesson m17-l2   …a discount — a crash, a wave of panic shorts («m19-l2») — you are a short paying longs, and the coll…
m34-l1   m02      module m02      … concentrates the counterparty risk. Both are «m02»'s "not your keys" wearing a strategy: your de…
m34-l1   m06      module m06      … the one to burn into memory, and it is where «m06», liquidation, comes back.
m34-l1   m06      module m06      …mechanics of the venue holding it. Everything «m06» taught about liquidation — that it is compute…
m34-l1   m19-l1   lesson m17-l1   …owded carry is a carry paying less — which is «m19-l1»'s premium read from the other side of the tab…
m34-l1   m23-l1   lesson m20-l1   …ription as "more trades means more profit" in «m23-l1» — the number quoted is real, and it is not th…
m34-l2   m19      module m17      That is «m19»'s reading of open interest and funding, and m…
m34-l2   m16      module m32      …9's reading of open interest and funding, and «m16»'s reading of a volatility squeeze, applied to…
m34-l2   m20      module m18      … that become transferable on published dates. «m20» taught the tokenomics of this — circulating s…
m34-l2   m31      module m27      …hat matters is that number next to the depth («m31») available to absorb it. A large unlock into …
m34-l2   m19-l1   lesson m17-l1   …f a known date is visible in the derivatives («m19-l1»), and the size of the anticipation often matt…
m34-l2   m04-l1   lesson m04-l1   …ver expire — that is the whole point of them («m04-l1»). So why do dated contracts and options expir…
m34-l2   m21-l1   lesson m34-l1   … carry trades, calendar spreads, the whole of «m21-l1» — has to be closed or rolled at that moment. …
m34-l2   m02      module m02      «m02». Your coins are on the venue, your collateral…
m34-l2   m06      module m06      «m06». The exchange's liquidation engine does not g…
m34-l2   m21-l1   lesson m34-l1   …is the argument for the carry's third risk in «m21-l1» stated once more: a delta-neutral position wh…
m19-l1   m25-l1   lesson m22-l1   …is the streak arithmetic later in the course, «m25-l1».) None of the formula changes; what changes i…
m19-l1   m27-l1   lesson m24-l1   …at the daily stop in the trading-plan module («m27-l1») is for.
m19-l1   m16-l1   lesson m32-l1   …nst the ATR of the timeframe you entered on — «m16-l1»'s ruler for how far a typical bar travels — a…
m19-l1   m06-l1   lesson m06-l1   …betting that an ordinary bar will not happen. «m06-l1» already showed what ordinary noise does to a …
m19-l1   m06      module m06      …liquidation sits relative to your stop. Using «m06»'s formula for a long, with :
m19-l1   m22-l2   lesson m19-l2   …e subject of the next lesson, Portfolio risk («m22-l2»).
m20-l1   m27-l1   lesson m24-l1   …hat is the top-down step of the trading plan («m27-l1»). And because the timeframe decides which per…
m20-l1   m10-l1   lesson m10-l1   …20/50 for swing, 50/200 on the daily — are in «m10-l1».
m20-l1   m19-l2   lesson m17-l2   …ing else. This is not a new phenomenon: it is «m19-l2»'s liquidity pocket, scheduled by the clock — …
m20-l1   m08-l2   lesson m08-l2   Weight a signal by the session it printed in. «m08-l2» says this for a single candle: a spectacular …
m20-l1   m27-l1   lesson m24-l1   … has the least room: the scalper's version of «m27-l1»'s written-in-advance plan is a pre-session on…
m20-l1   m24-l1   lesson m21-l1   … plan is a pre-session one — rules, sizes and «m24-l1»'s attached bracket settled before you sit dow…
m20-l2   m23-l1   lesson m20-l1   «m23-l1» left you with a style and, quietly, with two …
m20-l2   m29      module m25      This is exactly the point «m29» makes about a single candle, one level up. Th…
m20-l2   m03-l2   lesson m03-l2   …ame number on every chart. A shelf at 25,900 («m03-l2», m08-l1) is at 25,900 on the daily, on the 1-…
m20-l2   m08-l1   lesson m08-l1   …er on every chart. A shelf at 25,900 (m03-l2, «m08-l1») is at 25,900 on the daily, on the 1-hour and…
m20-l2   m08-l1   lesson m08-l1   … clean sequence anyone would call an uptrend («m08-l1»'s ladder, drawn on a fast chart). You go long…
m20-l2   m26      module m23      …e this creates is not a chart error, it is an «m26» error: opening frame after frame until one of…
m20-l2   m27-l1   lesson m24-l1   …hat is the top-down step of the trading plan («m27-l1») stated as a rule about charts. In practice:
m20-l2   m23-l1   lesson m20-l1   Your pair comes from your style («m23-l1»), because a scalper and a swing trader do not…
m20-l2   m22      module m19      One clean seam to «m22», risk management: you found the context above…
m20-l2   m22      module m19      … is then sized from that distance, exactly as «m22» does it.
m20-l2   m23-l1   lesson m20-l1   …duction with lateness, and every style on the «m23-l1» spectrum picks a different exchange rate.
m21-l1   m26      module m23      …-minute candle prints is not execution, it is «m26»'s psychology happening in real time, and the …
m24-l1   m03-l2   lesson m03-l2   …itself part of the method. Nested timeframes («m03-l2») and the timeframe-per-style choice (m23) bot…
m24-l1   m23      module m20      … (m03-l2) and the timeframe-per-style choice («m23») both imply a process step neither one spells…
m24-l1   m03-l2   lesson m03-l2   …ting where you already wanted to go — that is «m03-l2»'s warning about flipping between zoom levels …
m24-l1   m08-l2   lesson m08-l2   …wait for the reaction on the micro frame (see «m08-l2»): price dips to 59,700, a long lower wick for…
m24-l1   m22      module m19      This is the «m22» formula applied: hold 0.1 BTC, and being stop…
m24-l1   m25      module m22      …~3.7R is the kind of lopsided bet expectancy («m25») is built on.
m24-l1   m25      module m22      …age payoff, and payoff is half of expectancy («m25»). What you buy with it is a higher share of s…
m24-l1   m27-l2   lesson m24-l2   …two versions of your system, and the journal («m27-l2») is the only instrument that can compare them…
m24-l1   m26      module m23      …econd, separate limit: a daily stop, which is «m26»'s daily loss limit made mechanical. Write it …
m24-l1   m26      module m23      …rading after −3% is the version of you all of «m26» is about: anchored on getting back to even, f…
m24-l1   m26      module m23      …erson in the world to assess their own state. «m26»'s answer was pre-commitment — decide it when …
m24-l1   m27-l2   lesson m24-l2   … record is the raw material for everything in «m27-l2» — without it you cannot tell a losing trade f…
m24-l2   m27-l1   lesson m24-l1   … is a hypothesis: "this process makes money." «m27-l1» built one complete trade; this lesson is abou…
m24-l2   m25      module m22      …tribution you can actually judge (this is the «m25» sample). Dollars mix the quality of the decis…
m24-l2   m22      module m19      …ult stays the default. Fixed fractional risk («m22») — the same 1% on every trade, regardless of …
m24-l2   m25      module m22      Why the evidence is not optional: «m25»'s sample-size lesson applies with extra force…
m24-l2   m26      module m23      … risk more when I feel more convinced — which «m26» identifies as the moment you are most dangero…
m24-l2   m25      module m22      …before judging. A handful of trades is noise («m25»): a 60%-win system can easily show 3 losers i…
m24-l2   m25      module m22      …full price, and a normal early losing streak («m25») can end the account before you have learned …
m24-l2   m20      module m18      …lippage and funding costs and overnight gaps («m20» unlocks, m19-l2 liquidity) are absent on demo…
m24-l2   m19-l2   lesson m17-l2   …unding costs and overnight gaps (m20 unlocks, «m19-l2» liquidity) are absent on demo, treat paper re…
m33-l1   m25      module m22      «m25» handed you a number: expectancy, the average …
m33-l1   m15-l1   lesson m31-l1   …eady. A backtest without pre-written rules is «m15-l1»'s redrawn trendline: a line that gets adjuste…
m33-l1   m27      module m24      3. Every trade logged with «m27»'s discipline. Entry, stop, target, size, the …
m33-l1   m25      module m22      And note what this does to «m25»'s arithmetic. Expectancy is win rate times av…
m33-l1   m25      module m22      …ing streak proves as little as a winning one. «m25» showed that eight losses in a row is an ordin…
m33-l1   m24      module m21      …ually trading. Your stop-limit does not fill («m24»); you cross a wider spread than the backtest …
m33-l1   m26      module m23      …uble up to get even — the entire catalogue of «m26». The system's expectancy is only the system's…
m33-l1   m27-l2   lesson m24-l2   …ot test the psychology. That is precisely why «m27-l2» goes to minimum real size rather than staying…
m33-l1   m25      module m22      Both look like losses. Both feel the same. «m25» already showed that a perfectly good system p…
m33-l1   m26      module m23      …losing streaks as a matter of arithmetic, and «m26» showed what those streaks do to a person. So …
m33-l1   m27-l2   lesson m24-l2   …llowing it. That is what the journal is for — «m27-l2»'s review distinguishes a system's bad run fro…
m25-l1   m14      module m14      …me counts both sides of every trade equally — «m14»'s point that a trade always has a buyer and a…
m25-l1   m30      module m26      «m30» — CVD. Delta accumulated over a whole session…
m25-l1   m31      module m27      «m31» — the order book. The resting orders themselv…
m25-l1   m32      module m28      «m32» — premium between venues. The same coin price…
m25-l1   m33      module m29      «m33» — footprint charts and volume profile. Volume…
m25-l1   m14      module m14      «m14»'s absorption — heavy volume, no movement — is…
m25-l1   m09      module m09      «m09»'s spring and its test — a stab below support …
m25-l1   m12      module m12      «m12»'s divergence — price makes a new extreme, mom…
m25-l1   m30      module m26      …pattern in an oscillator computed from price. «m30» runs the identical logic one layer closer to …
m25-l1   m14      module m14      The habit stays what it was in «m14»: confluence. Order flow is another lens, and …
m25-l1   m14      module m14      … venues with different reporting quality, and «m14»'s wash-trading warning applies here too. Use …
m26-l1   m14      module m14      «m14» taught you to read volume against its own ave…
m26-l1   m14      module m14      The practical upgrade is on absorption. In «m14», absorption was a strong inference: a huge vo…
m26-l1   m14      module m14      …king the other side of all of it. Same event, «m14»'s guess turned into a reading.
m26-l1   m12      module m12      …is the technique the lesson is for, and it is «m12»'s logic with the oscillator swapped out.
m26-l1   m12      module m12      …still making its low. That is the same reason «m12»'s momentum divergence leads — but one layer c…
m26-l1   m09      module m09      «m09» left you with a specific, honest problem. A s…
m26-l1   m14      module m14      …t make the spring certain — it is confluence («m14»), one more independent lens agreeing. But it …
m26-l1   m29      module m25      …ed CVD exists and is genuinely useful, but as «m29» said, it stacks estimates — and if one venue …
m26-l1   m29      module m25      … "price will rise." This is the same error as «m29»'s, and CVD makes it more tempting because the…
m26-l1   m12      module m12      …ompare, there is no divergence there. This is «m12»'s discipline and it transfers unchanged.
m26-l1   m22      module m19      …d it is sized and stopped like anything else («m22»). "The CVD diverged" is not a reason to hold …
m27-l1   m30      module m26      «m30» was about trades that have already happened —…
m27-l1   m02      module m02      …the market: the orders sitting there waiting. «m02» introduced the order book early on, as part o…
m27-l1   m29      module m25      …is filled. That is what "aggressive" meant in «m29». A big market buy that consumes three levels …
m27-l1   m24      module m21      The consequence is slippage («m24»). In a deep book, a large market order eats a…
m27-l1   m14      module m14      …is eaten — which is exactly the absorption of «m14» and m30, and it is deliberately invisible in …
m27-l1   m30      module m26      … — which is exactly the absorption of m14 and «m30», and it is deliberately invisible in the book…
m27-l1   m19      module m17      Why it is fragile. Read imbalance the way «m19» taught you to read funding: as a crowding mea…
m27-l1   m17      module m15      «m17» told you what happens around a scheduled rele…
m27-l1   m17      module m15      That is why «m17»'s advice was to stand aside for the release r…
m27-l1   m17      module m15      …nformation in the day — which is exactly what «m17» told you, now with the reason attached.
m28-l1   m19      module m17      «m19» taught you the basis: the gap between a perpe…
m28-l1   m19      module m17      And read the level itself with «m19»'s caution: this is a positioning and flow rea…
m28-l1   m02      module m02      …ting the counterparty risk of both exchanges («m02»'s "not your keys").
m28-l1   m19      module m17      …ed. It is a flow reading, and like funding in «m19», it is most informative at extremes and near-…
m29-l1   m31      module m27      Like «m31», the order book, this lesson is conceptual: a…
m29-l1   m29      module m25      What you see that a candle hides. «m29» argued that a candle is an aggregate that dis…
m29-l1   m29      module m25      …st of the effort. Notice this is the delta of «m29», but resolved by price level rather than summ…
m29-l1   m03      module m03      …is is an upgrade on "support and resistance". «m03» and m08 taught levels as places price has rea…
m29-l1   m08      module m08      … upgrade on "support and resistance". m03 and «m08» taught levels as places price has reacted to …
m29-l1   m08      module m08      …"it looks like one" — which is precisely what «m08»'s warning about drawing lines to fit your bia…
m29-l1   m08      module m08      …gh-volume nodes are candidates for the levels «m08» taught you to test, with evidence attached.
m29-l1   m09      module m09      …lue area's edges give the range boundaries of «m09»'s trading range a measured definition rather …
m29-l1   m08      module m08      And all the «m08» caveats survive intact. A level with volume b…
m29-l1   m08      module m08      …ols to see the real thing. The same stance as «m08»'s named-candle-pattern dictionary and m31's o…
m29-l1   m31      module m27      … as m08's named-candle-pattern dictionary and «m31»'s order book: the frontier of the course is m…
m29-l1   m26      module m23      …ith no stop because "it has to get there", is «m26»'s material.
m30-l1   m19-l2   lesson m17-l2   …er other names: liquidity pools and sweeps in «m19-l2», the spring and absorption in m09, the change…
m30-l1   m09      module m09      …weeps in m19-l2, the spring and absorption in «m09», the change of character in m08-l1, role reve…
m30-l1   m08-l1   lesson m08-l1   …absorption in m09, the change of character in «m08-l1», role reversal and support-as-a-zone also in …
m30-l1   m08-l1   lesson m08-l1   …, role reversal and support-as-a-zone also in «m08-l1», the liquidity void in m08-l2. What is missin…
m30-l1   m08-l2   lesson m08-l2   …-a-zone also in m08-l1, the liquidity void in «m08-l2». What is missing is not mechanics. It is the …
m30-l1   m08-l2   lesson m08-l2   …s lesson does to the SMC lexicon exactly what «m08-l2» did to the named Japanese candle patterns: it…
m30-l1   m13      module m13      …andalone signal. And it takes the same stance «m13» takes towards Fibonacci and m10-l1 towards th…
m30-l1   m10-l1   lesson m10-l1   …e same stance m13 takes towards Fibonacci and «m10-l1» towards the 200-day average: this dialect is …
m30-l1   m19-l2   lesson m17-l2   … buying heavily pushes the price against you («m19-l2»). So they work an area, absorbing what is sol…
m30-l1   m09      module m09      …ce leaves in a hurry. That is, word for word, «m09»'s buyer absorbing inside the range.
m30-l1   m08-l1   lesson m08-l1   …is a zone, like every support in this course («m08-l1»), because it is defined by the extremes of a …
m30-l1   m08-l1   lesson m08-l1   …king through: what decides is the body, as in «m08-l1», and the impulse goes on to close as high as …
m30-l1   m08-l1   lesson m08-l1   …rd and successes stay in it. Treat it the way «m08-l1» treats any level: a place where something is …
m30-l1   m08-l2   lesson m08-l2   «m08-l2» already warned you about this phenomenon from…
m30-l1   m08-l2   lesson m08-l2   …ould be distrusted. That warning stands. What «m08-l2» left out is that the same emptiness, when a f…
m30-l1   m10-l1   lesson m10-l1   …and reopen with a jump, and crypto runs 24/7 («m10-l1»), so this is always an imbalance inside a con…
m30-l1   m08-l1   lesson m08-l1   «m08-l1» taught you the ladder — higher highs and high…
m30-l1   m08-l1   lesson m08-l1   …second acronym adds a word, not an idea — and «m08-l1» now names it too, where the ladder lives.
m30-l1   m08-l1   lesson m08-l1   …candles before the move that broke structure. «m08-l1» (role reversal, zones rather than lines) and …
m30-l1   m09      module m09      … (role reversal, zones rather than lines) and «m09» (absorption).
m30-l1   m08-l2   lesson m08-l2   …a single candle, where almost nothing traded. «m08-l2»'s liquidity void, now taught as a zone as wel…
m30-l1   m19-l2   lesson m17-l2   … stops, with the level reclaimed immediately. «m19-l2», and m08-l1's stop-hunting wicks.
m30-l1   m08-l1   lesson m08-l1   … the level reclaimed immediately. m19-l2, and «m08-l1»'s stop-hunting wicks.
m30-l1   m08-l1   lesson m08-l1   …tinues the sequence and the one that ends it. «m08-l1».
m30-l1   m13      module m13      …ow the midpoint of a range you drew yourself. «m13», the 0.5 line.
m30-l1   m13      module m13      …de entry is the 0.705–0.79 retracement" kind: «m13» already settled that no mechanism forces a ma…
m30-l1   m32      module m28      … do have mechanisms: the inter-venue premium («m32») and the perp-versus-spot basis (m19).
m30-l1   m19      module m17      …premium (m32) and the perp-versus-spot basis («m19»).
m30-l1   m08-l2   lesson m08-l2   The conclusion is «m08-l2»'s, in another language: there is no new syste…
m30-l1   m19-l2   lesson m17-l2   …e protective orders sit and why they cluster («m19-l2»), and what forced selling does to a thin book…
m30-l1   m06-l1   lesson m06-l1   … and what forced selling does to a thin book («m06-l1»). You can argue with it, check it, and be wro…
m30-l1   m29      module m25      …ame event without it. It is the same boundary «m29» draws around order flow and m33 around the fo…
m30-l1   m33      module m29      …same boundary m29 draws around order flow and «m33» around the footprint: say what the tool does,…
m30-l1   m26      module m23      … promise justifies holding a losing position («m26»).
m30-l1   m08-l1   lesson m08-l1   … reaction inside the band, with the tolerance «m08-l1» and m13 demand of any level, and with the clo…
m30-l1   m13      module m13      …nside the band, with the tolerance m08-l1 and «m13» demand of any level, and with the close — nev…
m30-l1   m08-l2   lesson m08-l2   …name the mechanic, there is no trade. This is «m08-l2»'s rule unchanged: if you cannot say what woul…
m30-l1   m22      module m19      …e stop and the stop comes from the structure («m22»). A stop beyond a zone's far edge is a perfec…
m30-l1   m26      module m23      …top widened so the zone has "room to work" is «m26».
epilogue-l1 m22      module m19      …ce to the stop rather than from the leverage («m22»), which means you know what you can lose befo…
epilogue-l1 m28      module m33      …t what sample size it starts to say anything («m28»). And you can assemble a complete trade end t…
epilogue-l1 m27-l2   lesson m24-l2   The journal, growing. The journal «m27-l2» made you start is the only thing that turns s…
epilogue-l1 m28      module m33      … time into sample, and sample is exactly what «m28» demanded before anything could be said about …
epilogue-l1 m28      module m33      …to a system whose sample has not grown. It is «m28»'s overfitting in human form — the same act of…
epilogue-l1 m24      module m21      …ize rather than as a constant — which is what «m24» had you estimate by hand.
epilogue-l1 m22      module m19      … formula gives — over the fixed percentage of «m22».
epilogue-l1 m31      module m27      … series rather than read on screen — which is «m31» with a history where you had a snapshot.
epilogue-l1 m32      module m28      …hem traded when it stretches — the premium of «m32» turned into a business.
epilogue-l1 m28      module m33      …st on the next, advance and repeat — which is «m28»'s test half done many times instead of once.
epilogue-l1 m16      module m32      …ongs to that state — the volatility cycles of «m16», measured instead of seen.
epilogue-l1 m21-l2   lesson m34-l2   The natural neighbour is options. «m21-l2» already named them — large expiries concentra…
epilogue-l1 m34      module m30      …at is the same claim without a mechanism that «m34» took apart in the crowd's dialect, wearing a …
epilogue-l1 m26      module m23      … of that ecosystem is built on the psychology «m26» describes: the hurry, the FOMO, someone else'…
#
# Self-mentions: the mention names the page it sits on, so a link would go nowhere new.
